Step Energy
0 -3.001805
1000 -2.985338
2000 -2.985338
3000 -2.984246
4000 -2.994583
5000 -2.993772
6000 -2.991767
7000 -2.979324
8000 -2.986527
9000 -2.981664
10000 -2.976438
11000 -2.978638
12000 -2.969624
13000 -2.955873
14000 -2.946157
15000 -2.944928
16000 -2.936225
17000 -2.924803
18000 -2.923058
19000 -2.912084
20000 -2.897024
21000 -2.924891
22000 -2.917469
23000 -2.925793
24000 -2.927900
25000 -2.926646
26000 -2.916885
27000 -2.911240
28000 -2.900649
29000 -2.884450
30000 -2.872175
31000 -2.933664
32000 -2.899734
33000 -2.924431
34000 -2.924586
35000 -2.924040
36000 -2.950436
37000 -2.950550
38000 -2.938934
39000 -2.939018
40000 -2.950282
41000 -2.950086
42000 -2.950246
43000 -2.949639
44000 -2.949564
45000 -2.949604
46000 -2.949677
47000 -2.949760
48000 -2.949526
49000 -2.949605
50000 -2.949720
51000 -2.949450
52000 -2.949677
53000 -2.949645
54000 -2.949564
55000 -2.949565
56000 -2.949679
57000 -2.949717
58000 -2.949561
59000 -2.949602
60000 -2.949568
