Step Energy
0 -3.001805
1000 -2.985338
2000 -2.985338
3000 -2.985592
4000 -2.998080
5000 -2.985970
6000 -2.982979
7000 -2.979883
8000 -2.989361
9000 -2.982340
10000 -2.975183
11000 -2.976808
12000 -2.965865
13000 -2.955449
14000 -2.959950
15000 -2.949393
16000 -2.948215
17000 -2.934199
18000 -2.922739
19000 -2.913521
20000 -2.893679
21000 -2.868571
22000 -2.871003
23000 -2.890053
24000 -2.900997
25000 -2.887288
26000 -2.921478
27000 -2.939577
28000 -2.941503
29000 -2.930975
30000 -2.917450
31000 -2.959333
32000 -2.943707
33000 -2.957734
34000 -2.963582
35000 -2.963658
36000 -2.975124
37000 -2.964808
38000 -2.974900
39000 -2.974903
40000 -2.964154
41000 -2.964157
42000 -2.975037
43000 -2.974996
44000 -2.975036
45000 -2.975033
46000 -2.969905
47000 -2.969868
48000 -2.969907
49000 -2.969907
50000 -2.980338
51000 -2.980337
52000 -2.967557
53000 -2.967552
54000 -2.956695
55000 -2.970037
56000 -2.970037
57000 -2.970033
58000 -2.969999
59000 -2.969994
60000 -2.969922
