Step Energy
0 -3.001805
1000 -2.985338
2000 -2.985338
3000 -2.982258
4000 -2.982262
5000 -2.982332
6000 -2.982054
7000 -2.993384
8000 -2.981978
9000 -2.990974
10000 -2.990752
11000 -2.988140
12000 -2.998770
13000 -2.987660
14000 -2.982893
15000 -2.991511
16000 -2.986755
17000 -2.974640
18000 -2.970404
19000 -2.976342
20000 -2.969086
21000 -2.961528
22000 -2.964848
23000 -2.959560
24000 -2.961406
25000 -2.941407
26000 -2.936426
27000 -2.935235
28000 -2.932372
29000 -2.915570
30000 -2.905043
31000 -2.982127
32000 -2.958996
33000 -2.995195
34000 -2.995193
35000 -2.968859
36000 -2.993673
37000 -2.982567
38000 -2.971307
39000 -2.995205
40000 -2.985163
41000 -2.985162
42000 -2.985166
43000 -2.985163
44000 -2.985164
45000 -2.985162
46000 -2.985163
47000 -2.985164
48000 -2.985164
49000 -2.985165
50000 -2.985165
51000 -2.985163
52000 -2.985162
53000 -2.985164
54000 -2.984266
55000 -2.986662
56000 -2.998470
57000 -2.987902
58000 -2.987901
59000 -2.987901
60000 -2.987902
