Step Energy
0 -3.001805
1000 -2.985338
2000 -2.985338
3000 -2.985749
4000 -2.985693
5000 -2.983958
6000 -2.993011
7000 -2.989903
8000 -2.984353
9000 -2.978378
10000 -2.969171
11000 -2.976983
12000 -2.965799
13000 -2.955172
14000 -2.956705
15000 -2.946909
16000 -2.943802
17000 -2.943219
18000 -2.927376
19000 -2.908598
20000 -2.885356
21000 -2.861018
22000 -2.862972
23000 -2.908060
24000 -2.944616
25000 -2.960651
26000 -2.950169
27000 -2.937790
28000 -2.923659
29000 -2.920598
30000 -2.920906
31000 -2.955725
32000 -2.967775
33000 -2.967815
34000 -2.967771
35000 -2.967821
36000 -2.981080
37000 -2.969265
38000 -2.969272
39000 -2.968350
40000 -2.968310
41000 -2.984399
42000 -2.960380
43000 -2.971051
44000 -2.971052
45000 -2.971127
46000 -2.981392
47000 -2.981395
48000 -2.970717
49000 -2.981488
50000 -2.981570
51000 -2.981566
52000 -2.969963
53000 -2.980620
54000 -2.980625
55000 -2.980626
56000 -2.980625
57000 -2.981726
58000 -2.981725
59000 -2.971560
60000 -2.971558
